Center_ID,Robotics_Installed,Robots_Count,Operational_Hours,Human_Workforce_Count,Incidents_Reported,Processing_Volume_Units,Avg_Pick_Time_sec,Cost_Saving_USD
WH001,1,15,160,35,1,12000,42,45000
WH002,0,0,150,50,3,8000,53,12000
WH003,1,10,140,40,2,10000,47,30000
WH004,1,20,180,30,0,15000,39,60000
WH005,0,0,130,55,4,7000,58,10000
WH006,1,12,155,38,1,11000,45,40000
WH007,1,18,170,33,0,14000,41,55000
WH008,0,0,125,60,5,6000,60,8000
WH009,1,14,165,36,2,11500,44,42000
WH010,1,16,175,32,0,14500,40,58000
